"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username""";;
"1968558462591442977,""Thu Sep 18 06:11:26 +0000 2025"",""0"",""Harga Emas Perhiasan Hari Ini Kamis 18 September 2025 #emas #perhiasan #investasi https://t.co/xFRScnAFoK"",""1968558462591442977"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968558462591442977"",""238091066"",";;
"1968558246660038876,""Thu Sep 18 06:10:34 +0000 2025"",""0"",""The Fed Pangkas Suku Bunga Bawa Angin Segar untuk Arus Modal Asing #saham #infosaham #investasi https://t.co/zCzHHZvSSq"",""1968558246660038876"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968558246660038876"",""238091066"",";;
"1968558003206111564,""Thu Sep 18 06:09:36 +0000 2025"",""0"",""Reli Rekor IHSG di Depan Mata MLPT Tembus Rp 150 Ribu #saham #infosaham #investasi https://t.co/bDCl8AffWb"",""1968558003206111564"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968558003206111564"",""238091066"",";;
"1968548250027430268,""Thu Sep 18 05:30:51 +0000 2025"",""0"",""Valuasi BBCA Lagi Super Murah #saham #infosaham #investasi https://t.co/PFaGDHGEAK"",""1968548250027430268"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968548250027430268"",""238091066"",";;
"1968548056930074928,""Thu Sep 18 05:30:05 +0000 2025"",""0"",""Independensi The Fed Tertekan Harga Emas Diramal Tembus Angka Ini #emas #investasi https://t.co/gsfNLjqiVL"",""1968548056930074928"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968548056930074928"",""238091066"",";;
"1968544017114652893,""Thu Sep 18 05:14:02 +0000 2025"",""0"",""Penutupan sesi 1 Kamis 18 September 2025 IHSG 8 046.61 (+0.26%) #IHSG #saham #investasi #indeks #pasarmodal #JCI #IDX #ciptadana #ciptadanasekuritasasia #QuickPick #PinePick #QuickPickPinePick #InvestasiCerdasmu https://t.co/HfDIaMOg2h"",""1968544017114652893"",""https://pbs.twimg.com/media/G1GsWGZbgAAkpPL.jpg"","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968544017114652893"",""1396754054915653634"",";;
"1968540255814041959,""Thu Sep 18 04:59:05 +0000 2025"",""1"",""BEI Pantau Ketat 3 Saham Masuk UMA #saham #infosaham #investasi https://t.co/iLKum4kt72"",""1968540255814041959"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968540255814041959"",""238091066"",";;
"1968523492846162319,""Thu Sep 18 03:52:28 +0000 2025"",""0"",""Harga Emas Tertekan Penguatan Dolar AS #emas #investasi https://t.co/yIThUimvOw"",""1968523492846162319"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968523492846162319"",""238091066"",";;
"1968523126490456144,""Thu Sep 18 03:51:01 +0000 2025"",""0"",""COIN dan 4 Saham Naik Tajam Saat IHSG Cetak Rekor Intraday #saham #infosaham #investasi https://t.co/4neHwXrsda"",""1968523126490456144"","""","""",""in"","""",""1"",""0"",""1"",""https://x.com/undefined/status/1968523126490456144"",""238091066"",";;
"1968515441380442610,""Thu Sep 18 03:20:29 +0000 2025"",""0"",""Harga Emas Antam Anjlok Rp17 Ribu Kini Rp2.098.000/Gram #HargaEmas #EmasAntam #Investasi #Ekonomi #FinancialUpdate https://t.co/a1ULyNdg4F"",""1968515441380442610"",""https://pbs.twimg.com/media/G1GST_UacAA2QnV.jpg"","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968515441380442610"",""1942588770274140165"",";;
"1968506687746428968,""Thu Sep 18 02:45:42 +0000 2025"",""0"",""Investor Sempat Banyak yang Cabut Saham Petrosea (PTRO) Malah Menjadi-jadi #saham #infosaham #investasi https://t.co/4hTFy6fp8V"",""1968506687746428968"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968506687746428968"",""238091066"",";;
"1968500710108201003,""Thu Sep 18 02:21:56 +0000 2025"",""1"",""Dari Receh Saham Ini Jadi Multibagger #saham #infosaham #investasi https://t.co/tOlF9zkaEe"",""1968500710108201003"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968500710108201003"",""238091066"",";;
"1968498809660465221,""Thu Sep 18 02:14:23 +0000 2025"",""1"",""IHSG Menguat Lagi 5 Saham Langsung Ngacir #saham #infosaham #investasi https://t.co/D33iNi1sXN"",""1968498809660465221"","""","""",""in"","""",""0"",""0"",""1"",""https://x.com/undefined/status/1968498809660465221"",""238091066"",";;
"1968498543397642726,""Thu Sep 18 02:13:20 +0000 2025"",""2"",""Harga Saham Naik Tajam BEI Suspensi 3 Saham #saham #infosaham #investasi https://t.co/WF38EYQgpN"",""1968498543397642726"","""","""",""in"","""",""0"",""1"",""1"",""https://x.com/undefined/status/1968498543397642726"",""238091066"",";;
"1968495548069294438,""Thu Sep 18 02:01:28 +0000 2025"",""0"",""sebagai wujud dukungan pemerintah dalam mendorong pengembangan energi baru terbarukan khususnya panas bumi yang menjadi kunci transisi energi berkelanjutan sekaligus membuka peluang investasi hijau di Indonesia #Investasi #Hilirisasi #BKPM #SetahunBerdampak #InvestasiBerdampak https://t.co/2u2kbYrMMD"",""1968495559674892652"",""https://pbs.twimg.com/media/G1GARodaQAA2kN6.jpg"",""bkpm"",""in"","""",""1"",""2"",""0"",""https://x.com/undefined/status/1968495559674892652"",""106035510"",";;
"1968492693052383241,""Thu Sep 18 01:50:05 +0000 2025"",""0"",""TOBA Ternyata Masih Murah Cuannya Bisa 60% Lebih #saham #infosaham #investasi https://t.co/Svci6vcSiO"",""1968492693052383241"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968492693052383241"",""238091066"",";;
"1968491589136699437,""Thu Sep 18 01:45:42 +0000 2025"",""0"",""PIK2 (PANI) Rilis Info Baru Ada Harga Tebus Rights Issue? #saham #infosaham #investasi https://t.co/cfzH8vm0Nf"",""1968491589136699437"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968491589136699437"",""238091066"",";;
"1968491444789985493,""Thu Sep 18 01:45:07 +0000 2025"",""0"",""Saham Pilihan untuk Trading 18 September dan Target Harganya #saham #infosaham #investasi https://t.co/yOTtom5aeG"",""1968491444789985493"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968491444789985493"",""238091066"",";;
"1968491021055987753,""Thu Sep 18 01:43:26 +0000 2025"",""0"",""Keluar Ramalan Baru Saham BRPT #saham #infosaham #investasi https://t.co/oQGa0UTsH1"",""1968491021055987753"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968491021055987753"",""238091066"",";;
"1968490678649803023,""Thu Sep 18 01:42:05 +0000 2025"",""1"",""Diam diam Saham CDIA Banyak Diakumulasi #saham #infosaham #investasi https://t.co/uz2i3pmKHP"",""1968490678649803023"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968490678649803023"",""238091066"",";;
"1968490547514843181,""Thu Sep 18 01:41:33 +0000 2025"",""1"",""Kenapa BBCA Nasibnya Jadi Begini? #saham #infosaham #investasi https://t.co/4ET3u4EoXc"",""1968490547514843181"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968490547514843181"",""238091066"",";;
"1968490535154487793,""Thu Sep 18 01:41:31 +0000 2025"",""2"",""Mau punya skills seperti Andry Hakim: Baca ebook saham dan investasi di sini https://t.co/TI7qYt0tL9 #fyp #mindsetorangkaya #investasi #keuangan #warrenbuffett #andryhakim https://t.co/mPw1ynhWT7"",""1968490535154487793"",""https://pbs.twimg.com/amplify_video_thumb/1968490132023193600/img/ZYKeupS7VsGgqKag.jpg"","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968490535154487793"",""1947952752270950400"",";;
"1968489580375720375,""Thu Sep 18 01:37:43 +0000 2025"",""0"",""Saham BBRI Katanya Bakal ke Sini #saham #infosaham #investasi https://t.co/o0suhl4C1D"",""1968489580375720375"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968489580375720375"",""238091066"",";;
"1968489113671319595,""Thu Sep 18 01:35:52 +0000 2025"",""0"",""Investor Asing Lepas Saham Grup Bakrie (BUMI) #saham #infosaham #investasi https://t.co/zQxvs6Togv"",""1968489113671319595"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968489113671319595"",""238091066"",";;
"1968454231846793328,""Wed Sep 17 23:17:15 +0000 2025"",""0"",""The Fed dan BI Rate Jadi Penopang Reli Rekor IHSG 6 Saham Bakal Cuan #saham #infosaham #investasi https://t.co/BECQMiZPE3"",""1968454231846793328"","""","""",""in"","""",""0"",""0"",""0"",""https://x.com/undefined/status/1968454231846793328"",""238091066"",";;
